product_id,customer_id,quantity,sale_date,price_sale,price_product,revenue,profit_margin
131,144,2,2022-11-20,71.69,46.16,143.38,61.13823406332822
173,640,5,2022-03-04,41.93,15.85,209.65,80.46744574290484
154,442,4,2022-04-09,56.33,33.5,225.32,64.22865258299308
142,978,6,2022-12-21,29.47,21.65,176.82,34.9507974211062
128,275,5,2022-09-08,19.18,66.59,95.9,-197.0802919708029
125,399,5,2022-08-09,37.42,98.47,187.10000000000002,-128.2736504543025
173,742,2,2022-07-21,98.49,15.85,196.98,91.68443496801706
183,809,2,2022-08-02,93.51,57.15,187.02,45.064698962677795
136,862,6,2022-12-27,69.23,39.25,415.38,56.839520439116
187,917,3,2022-09-01,65.66,10.88,196.98,86.29302467255559
190,701,3,2022-11-02,93.49,16.63,280.46999999999997,85.6348272542518
191,934,9,2022-10-02,45.44,13.12,408.96,81.7781690140845
108,600,1,2022-09-21,83.42,37.78,83.42,66.21913210261329
119,609,5,2022-02-10,85.26,40.95,426.3,67.87473610133709
130,150,3,2022-02-13,83.04,47.96,249.12,61.33188824662813
193,733,2,2022-04-24,62.93,50.15,125.86,39.53599237247736
130,541,6,2022-02-04,12.57,47.96,75.42,-155.4494828957836
181,350,4,2022-10-23,61.06,69.43,244.24,7.943006878480185
106,444,3,2022-11-29,44.2,35.2,132.60000000000002,48.68778280542987
108,540,9,2022-06-10,65.81,37.78,592.29,57.17975991490655
181,820,8,2022-12-23,61.48,69.43,491.84,8.571893298633695
102,219,2,2022-02-03,43.71,13.13,87.42,75.93228094257606
165,815,1,2022-07-19,55.82,34.35,55.82,57.810820494446425
112,375,8,2022-04-22,18.79,65.48,150.32,-193.02820649281534
120,114,8,2022-11-22,15.04,81.43,120.32,-301.3962765957447
118,208,7,2022-10-05,48.99,61.77,342.93,-4.5927740355174524
189,197,5,2022-06-08,74.81,40.63,374.05,55.35356235797354
195,993,7,2022-07-26,60.61,14.09,424.27,82.72562283451576
145,61,9,2022-07-23,80.78,14.92,727.02,85.2067343401832
134,492,1,2022-03-03,61.72,11.79,61.72,83.63577446532729
152,565,9,2022-12-24,57.72,32.32,519.48,65.76576576576576
145,658,1,2022-07-15,69.35,14.92,69.35,82.76856524873828
177,322,3,2022-07-28,26.16,31.1,78.48,3.325688073394499
115,177,9,2022-08-25,39.44,47.41,354.96,23.83367139959432
100,450,3,2022-05-01,84.79,35.97,254.37,62.236112749144944
151,121,2,2022-09-11,50.02,47.1,100.04,31.02758896441424
171,837,7,2022-08-13,51.73,44.58,362.10999999999996,28.996713705780014
171,355,3,2022-08-24,48.12,44.58,144.35999999999999,23.66999168744805
154,174,1,2022-01-02,25.94,33.5,25.94,22.320740169622212
163,671,3,2022-03-01,81.79,81.78,245.37,21.848636752659253
108,886,6,2022-09-08,25.66,37.78,153.96,-9.820732657833203
149,718,5,2022-01-10,41.83,61.88,209.14999999999998,-9.299545780540285
199,188,4,2022-03-10,39.41,49.75,157.64,3.73001776198934
114,378,5,2022-09-10,20.4,48.3,102.0,-76.91176470588238
172,538,8,2022-03-15,91.04,35.68,728.32,66.64103690685413
186,324,2,2022-05-05,57.82,69.5,115.64,4.289173296437213
138,245,3,2022-11-30,76.9,78.58,230.70000000000002,10.156046814044215
115,655,2,2022-05-07,55.71,47.41,111.42,46.07790342846886
196,247,9,2022-05-29,59.25,17.19,533.25,80.40506329113924
163,283,4,2022-01-20,85.36,81.78,341.44,25.117150890346764
144,617,7,2022-02-04,94.03,26.53,658.21,77.22003615867277
191,624,1,2022-03-23,63.13,13.12,63.13,86.88420719150957
149,433,8,2022-11-18,71.83,61.88,574.64,36.34971460392594
172,720,1,2022-05-09,49.51,35.68,49.51,38.65885679660674
177,455,9,2022-06-09,12.16,31.1,109.44,-107.9769736842105
113,652,3,2022-10-22,60.51,46.19,181.53,31.31713766319616
138,704,9,2022-02-19,23.14,78.58,208.26,-198.57389801210024
195,88,4,2022-04-10,30.47,14.09,121.88,65.63833278634723
104,482,9,2022-07-04,20.95,41.12,188.54999999999998,-22.91169451073986
191,47,3,2022-04-06,56.79,13.12,170.37,85.41996830427891
141,188,3,2022-11-07,93.22,50.86,279.65999999999997,57.65930057927483
100,683,1,2022-09-17,59.58,35.97,59.58,46.2571332661967
183,11,5,2022-04-29,25.78,57.15,128.9,-99.26299456943364
138,639,4,2022-11-12,27.36,78.58,109.44,-152.52192982456143
131,529,2,2022-09-16,75.23,46.16,150.46,62.966901502060345
157,237,7,2022-08-15,80.38,79.96,562.66,29.870614580741478
131,513,8,2022-01-31,13.42,46.16,107.36,-107.60059612518629
