sale_id,product_id,customer_id,quantity,sale_date,price
1,131,144,2,2022-11-20,71.69
2,173,640,5,2022-03-04,41.93
3,154,442,4,2022-04-09,56.33
4,142,978,6,2022-12-21,29.47
5,128,275,5,2022-09-08,19.18
6,125,399,5,2022-08-09,37.42
7,173,742,2,2022-07-21,98.49
8,183,809,2,2022-08-02,93.51
9,136,862,6,2022-12-27,69.23
10,187,917,3,2022-09-01,65.66
11,190,701,3,2022-11-02,93.49
12,191,934,9,2022-10-02,45.44
13,108,600,1,2022-09-21,83.42
14,119,609,5,2022-02-10,85.26
15,130,150,3,2022-02-13,83.04
16,193,733,2,2022-04-24,62.93
17,130,541,6,2022-02-04,12.57
18,181,350,4,2022-10-23,61.06
19,106,444,3,2022-11-29,44.2
20,108,540,9,2022-06-10,65.81
21,181,820,8,2022-12-23,61.48
22,102,219,2,2022-02-03,43.71
23,165,815,1,2022-07-19,55.82
24,112,375,8,2022-04-22,18.79
25,120,114,8,2022-11-22,15.04
26,118,208,7,2022-10-05,48.99
27,189,197,5,2022-06-08,74.81
28,195,993,7,2022-07-26,60.61
29,145,61,9,2022-07-23,80.78
30,134,492,1,2022-03-03,61.72
31,152,565,9,2022-12-24,57.72
32,145,658,1,2022-07-15,69.35
33,177,322,3,2022-07-28,26.16
34,115,177,9,2022-08-25,39.44
35,100,450,3,2022-05-01,84.79
36,151,121,2,2022-09-11,50.02
37,171,837,7,2022-08-13,51.73
38,171,355,3,2022-08-24,48.12
39,154,174,1,2022-01-02,25.94
40,163,671,3,2022-03-01,81.79
41,108,886,6,2022-09-08,25.66
42,149,718,5,2022-01-10,41.83
43,199,188,4,2022-03-10,39.41
44,114,378,5,2022-09-10,20.4
45,172,538,8,2022-03-15,91.04
46,186,324,2,2022-05-05,57.82
47,138,245,3,2022-11-30,76.9
48,115,655,2,2022-05-07,55.71
49,196,247,9,2022-05-29,59.25
50,163,283,4,2022-01-20,85.36
51,144,617,7,2022-02-04,94.03
52,191,624,1,2022-03-23,63.13
53,149,433,8,2022-11-18,71.83
54,172,720,1,2022-05-09,49.51
